Jordânia,Jordânia
Kiribati,Kiribati
Kuait,Kuait
Laos,Laos
Látvia,Látvia
Lesoto,Lesoto
Líbano,Líbano
Libéria,Libéria
Líbia,Líbia
Liechtenstein,Liechtenstein
Lituânia,Lituânia
Luxemburgo,Luxemburgo
Macau,Macau
Macedônia (República Yugoslava),Macedônia (República Yugoslava)
Madagascar,Madagascar
Malásia,Malásia
Malaui,Malaui
Maldivas,Maldivas
Mali,Mali
Malta,Malta
Marrocos,Marrocos
Martinica,Martinica
Maurício,Maurício
Mauritânia,Mauritânia
Mayotte,Mayotte
México,México
Micronésia,Micronésia
Moçambique,Moçambique
Moldova,Moldova
Mônaco,Mônaco
Mongólia,Mongólia
Montenegro,Montenegro
Montserrat,Montserrat
Myanmar,Myanmar
Namíbia,Namíbia
Nauru,Nauru
Nepal,Nepal
Nicarágua,Nicarágua
Níger,Níger
Nigéria,Nigéria
Niue,Niue
Noruega,Noruega
Nova Caledônia,Nova Caledônia
Nova Zelândia,Nova Zelândia
Omã,Omã
Palau,Palau
Panamá,Panamá
Papua-Nova Guiné,Papua-Nova Guiné
Paquistão,Paquistão
Paraguai,Paraguai
Peru,Peru
Polinésia Francesa,Polinésia Francesa
Polônia,Polônia
Porto Rico,Porto Rico
Portugal,Portugal
Qatar,Qatar
Quênia,Quênia
Quirguistão,Quirguistão
República Centro-Africana,República Centro-Africana
República Democrática do Congo,República Democrática do Congo
República Dominicana,República Dominicana
República Tcheca,República Tcheca
Romênia,Romênia
Ruanda,Ruanda
Saara Ocidental,Saara Ocidental
Saint Vincent e Granadinas,Saint Vincent e Granadinas
Samoa Ocidental,Samoa Ocidental
Samoa Ocidental,Samoa Ocidental
San Marino,San Marino
Santa Helena,Santa Helena
Santa Lúcia,Santa Lúcia
São Bartolomeu,São Bartolomeu
São Cristóvão e Névis,São Cristóvão e Névis
San Martin,San Martin
São Tomé e Príncipe,São Tomé e Príncipe
Senegal,Senegal
Sierra Leoa,Sierra Leoa
Sérvia,Sérvia
Síria,Síria
Somália,Somália
Sri Lanka,Sri Lanka
St. Maarten,St. Maarten
St.Pierre & Miquelon,St.Pierre & Miquelon
Suazilândia,Suazilândia
Sudão,Sudão
Sudão do Sul,Sudão do Sul
Suécia,Suécia
Suíça,Suíça
Suriname,Suriname
Tadjiquistão,Tadjiquistão
Tailândia,Tailândia
Taiwan,Taiwan
Tanzânia,Tanzânia
Território Britânico do Oceano Índico,Território Britânico do Oceano Índico
Territórios do Sul da França,Territórios do Sul da França
Territórios Palestinos Ocupados,Territórios Palestinos Ocupados
Timor Leste,Timor Leste
Togo,Togo
Tonga,Tonga
Trinidad & Tobago,Trinidad & Tobago
Tunísia,Tunísia
Turcomenistão,Turcomenistão
Turquia,Turquia
Tuvalu,Tuvalu
Ucrânia,Ucrânia
Uganda,Uganda
Uruguai,Uruguai
Uzbequistão,Uzbequistão
Vanuatu,Vanuatu
Vaticano,Vaticano
Venezuela,Venezuela
Vietnã,Vietnã
Zâmbia,Zâmbia
Zimbábue,Zimbábue
